
> journey-lite@0.1.0 import:journeylite-blog
> tsx scripts/import-journeylite-blog-to-sanity.ts --create-drafts

[2026-05-21T17:48:41.178Z] Created draft: drafts.jl-blog-free-obalon-gastric-balloon-consult
[2026-05-21T17:48:42.690Z] Created draft: drafts.jl-blog-from-299-to-192-michaels-sleeve-win-with-dr-augusta
[2026-05-21T17:48:44.262Z] Created draft: drafts.jl-blog-frozen-dinners-is-there-a-good-choice
[2026-05-21T17:48:45.701Z] Created draft: drafts.jl-blog-gastric-band-fill-video
[2026-05-21T17:48:47.220Z] Created draft: drafts.jl-blog-gastric-bypass-and-smoking
[2026-05-21T17:48:48.728Z] Created draft: drafts.jl-blog-gastric-bypass-versus-gastric-sleeve-cost-benefits-and-key-differences
[2026-05-21T17:48:50.898Z] Created draft: drafts.jl-blog-gastric-sleeve-cost-explained
[2026-05-21T17:48:52.275Z] Created draft: drafts.jl-blog-gastric-sleeve-pros-and-cons-you-need-to-know
[2026-05-21T17:48:53.784Z] Created draft: drafts.jl-blog-gastric-sleeve-requirements
[2026-05-21T17:48:55.299Z] Created draft: drafts.jl-blog-general-surgery-at-journeylite
[2026-05-21T17:48:56.844Z] Created draft: drafts.jl-blog-gerd-after-weight-loss-surgery
[2026-05-21T17:48:58.322Z] Created draft: drafts.jl-blog-get-fit-fitbit
[2026-05-21T17:48:59.819Z] Created draft: drafts.jl-blog-get-tired-after-eating-lets-talk-about-why
[2026-05-21T17:49:01.336Z] Created draft: drafts.jl-blog-get-up-to-1500-of-off-the-new-obalon-swallowable-gastric-balloon
[2026-05-21T17:49:02.836Z] Created draft: drafts.jl-blog-getting-through-the-holidays
[2026-05-21T17:49:04.349Z] Created draft: drafts.jl-blog-giving-back-gatlinburg
[2026-05-21T17:49:05.875Z] Created draft: drafts.jl-blog-glp-1-pills-vs-weight-loss-surgery
[2026-05-21T17:49:07.404Z] Created draft: drafts.jl-blog-glp-1-receptor-agonists-vs-weight-loss-surgery-5-things-you-should-know-wegovy-ozempic-mounjaro
[2026-05-21T17:49:08.962Z] Created draft: drafts.jl-blog-glp1-vs-surgery-long-term-results-and-costs
[2026-05-21T17:49:10.477Z] Created draft: drafts.jl-blog-goal-this-week
[2026-05-21T17:49:11.908Z] Created draft: drafts.jl-blog-goodrx-and-adipex-phentermine-savings
[2026-05-21T17:49:13.406Z] Created draft: drafts.jl-blog-goodrx-emend
[2026-05-21T17:49:14.938Z] Created draft: drafts.jl-blog-great-news-from-caresource-coverage-for-diabetics-with-bmi-30-35
[2026-05-21T17:49:16.447Z] Created draft: drafts.jl-blog-guide-to-gastric-sleeve-recovery
[2026-05-21T17:49:17.950Z] Created draft: drafts.jl-blog-hcg-2-0-is-here
[2026-05-21T17:49:19.453Z] Created draft: drafts.jl-blog-hcg-diet-apple-day-what-is-it
[2026-05-21T17:49:20.961Z] Created draft: drafts.jl-blog-health-plans-dont-cover-weight-loss-surgery
[2026-05-21T17:49:22.535Z] Created draft: drafts.jl-blog-healthy-lifestyle-eating-plan
[2026-05-21T17:49:23.991Z] Created draft: drafts.jl-blog-heathers-gastric-bypass-before-and-after-story
[2026-05-21T17:49:26.273Z] Created draft: drafts.jl-blog-heathers-vsg-before-and-after-story
[2026-05-21T17:49:27.538Z] Created draft: drafts.jl-blog-help-expand-coverage-treatment-obesity
[2026-05-21T17:49:29.040Z] Created draft: drafts.jl-blog-high-protein-recipes
[2026-05-21T17:49:30.556Z] Created draft: drafts.jl-blog-hospital-update
[2026-05-21T17:49:32.063Z] Created draft: drafts.jl-blog-how-do-you-start-adipex-phentermine
[2026-05-21T17:49:33.576Z] Created draft: drafts.jl-blog-how-fast-is-the-weight-loss-with-adipex-phentermine
[2026-05-21T17:49:35.117Z] Created draft: drafts.jl-blog-how-many-calories-in-a-starbucks-caramel-frappuccino
[2026-05-21T17:49:36.689Z] Created draft: drafts.jl-blog-how-to-achieve-success-after-weight-loss-surgery-the-three-ms
[2026-05-21T17:49:38.111Z] Created draft: drafts.jl-blog-how-to-avoid-dehydration-after-weight-loss-surgery
[2026-05-21T17:49:39.620Z] Created draft: drafts.jl-blog-how-to-decide-if-a-holiday-food-is-worth-it-after-bariatric-surgery
[2026-05-21T17:49:41.143Z] Created draft: drafts.jl-blog-how-to-meal-plan-a-step-by-step-guide
[2026-05-21T17:49:42.629Z] Created draft: drafts.jl-blog-how-to-prepare-for-your-endoscopy
[2026-05-21T17:49:44.161Z] Created draft: drafts.jl-blog-how-to-stop-weight-gain-after-bariatric-surgery
[2026-05-21T17:49:45.662Z] Created draft: drafts.jl-blog-how-when-and-what-to-eat-after-bariatric-surgery
[2026-05-21T17:49:47.181Z] Created draft: drafts.jl-blog-hydration-and-fat-metabolism
[2026-05-21T17:49:48.749Z] Created draft: drafts.jl-blog-immunospressants-steroids-after-weight-loss-surgery
[2026-05-21T17:49:50.192Z] Created draft: drafts.jl-blog-importance-of-post-op-labs
[2026-05-21T17:49:51.694Z] Created draft: drafts.jl-blog-incisional-pain-after-gastric-bypass-surgery
[2026-05-21T17:49:53.288Z] Created draft: drafts.jl-blog-information-appointment-request
[2026-05-21T17:49:54.724Z] Created draft: drafts.jl-blog-insurance-exclusions-and-weight-loss-surgery
